head,text,date
Мэттью МакКонахи на кадре из «Пляжного бездельника»,"
Мэттью МакКонахи на кадре из «Пляжного бездельника»


Новости


 
 
 
 
 
 




Опубликован свежий кадр из артхаусной комедии «Пляжный бездельник» с участием Мэттью МакКонахи и Снуп Догга. Режиссёром фильма выступил Хармони Корин, создатель лент «Отвязные каникулы» и «Трахальщики мусорных бачков».
Сюжет посвящен истории обаятельного и стихийного бунтаря-отщепенца Мундога (Мэттью МакКонахи), который предпочитает не обращать внимания на социальные нормы и жить на полную катушку. Продюсеры уверены, что из «Пляжного бомжа» получится этакий «Большой Лебовски» XXI-го века, «освежающе оригинальная, дерзкая и весёлая комедия, которую может снять только Хармони Корин».
В актёрском составе также значатся Зак Эфрон, Айла Фишер, Бриа Винайте, Джошуа Риттер, Джимми Баффетт, Рикки Диаз и другие.
Российский релиз картины ожидается 21 марта.
 

21.01.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",21.01.2019
«Король Лев» vs «Мстители»: Названы номинанты на «Грэмми-2020»,"
«Король Лев» vs «Мстители»: Названы номинанты на «Грэмми-2020»


Новости


 
 
 
 
 
 




Год подходит к концу, а значит, начинается сезон наград. Пока отборщики премий «Золотой глобус» и «Оскар» ещё отсматривают фильмы, музыкальная премия «Грэмми» объявила своих номинантов, в том числе и за лучшие саундтреки года.
Больше всего номинаций получил «Король Лев». Он поборется за звание лучшего сборника саундтреков, лучшего саундтрека, а также за лучшую песню. Среди его конкурентов оказалась музыка Алана Сильвестри для «Мстителей: Финала», а также композиции из фильмов «Однажды… в Голливуде», «Рокетмен» и «Звезда родилась».
Из сериалов были отмечены саундтреки к «Чернобылю» и «Игре престолов». Также Бейонсе получила номинацию в категориях «Лучший поп-вокал альбом» и «Лучший поп-перформанс» за песни всё к тому же «Королю Льву».
Удастся ли ленте Джона Фавро стать таким же триумфатором как оригинальному мультфильму с музыкой Элтона Джона, узнаем 26 января 2020 года.
Источник: Grammy.com

21.11.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",21.11.2019
Бокс-офис США: «Дамбо» «взлетел» ниже ожиданий,"
Бокс-офис США: «Дамбо» «взлетел» ниже ожиданий


Новости


 
 
 
 
 
 




По итогам уик-энда игровой ремейк «Дамбо» от Тима Бертона и студии Disney собрал 45 млн. долларов и занял первое место. Цифры, впрочем, оказались ниже ожиданий экспертов и аналитиков студии, которые предрекали летающему слоненку домашние сборы как минимум в 50 миллионов за первые выходные.
В пятницу (первый день) «Дамбо» удалось набрать «разочаровывающие» 15,3 млн долларов. При этом зрители весьма положительно отнеслиcь к картине, поставив ей A- (пять с минусом) по шкале CinemaScore. В остальном мире фильм заработал 116 млн долларов. В России ожидаются сборы в районе 280-300 млн рублей.
Оригинальный мультфильм «Дамбо» 1941 года считается анимационной классикой Disney. В ремейке приняли участие Колин Фаррелл, Ева Грин, Майкл Китон, Дэнни ДеВито и другие.
На второе место в Северной Америке опустился психологический триллер Джордана Пила «Мы» ($33,6 млн). В совокупности за десять дней проката «Мы» собрали 128 млн долларов. За третье место держится «Капитан Марвел», чьи сборы в США составляют $353 млн, а общемировые близятся к миллиарду.
 
Источник: Box Office Mojo

31.03.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",31.03.2019
Вышел полноценный трейлер биографической драмы «Скандал»,"
Вышел полноценный трейлер биографической драмы «Скандал»


Новости


 
 
 
 
 
 




Студия Lionsgate поделилась официальным трейлером фильма «Скандал» с Николь Кидман, Марго Робби и Шарлиз Терон в главных ролях. Режиссёром выступает Джей Роуч («Трамбо»).
В основе сюжета лежит история о сексуальных домогательствах в Fox News. Две сотрудницы телеканала, Грэтхен Карлсон и Мегин Келли, обвинили своего руководителя Роджера Эйлса в харассменте, который впоследствии покинул пост.
Премьера фильма назначена приблизительно на конец года.
 




16.10.2019

Далее по теме















Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",16.10.2019
Арми Хаммер и Александр Скарсгард могут сыграть в «Человеке-невидимке»,"
Арми Хаммер и Александр Скарсгард могут сыграть в «Человеке-невидимке»


Новости


 
 
 
 
 
 




Студия Universal Pictures приступила к поискам актёра на главную роль в новой экранизации «Человека-невидимки». По данным That Hashtag Show, сейчас продюсеры выбирают между двумя кандидатами: Арми Хаммером и Александром Скарсгардом.
В центре сюжета грядущего фильма окажется Эдриан Гриффин ‒ социопат-миллиардер, который нажил своё несметное состояние, разработав костюм невидимости по заказу Министерства обороны.
Также переговоры по поводу участия в проекте ведёт звезда «Рассказа служанки» и «Безумцев» Элизабет Мосс. За постановку отвечает режиссёр «Апгрейда» Ли Уоннелл, он же напишет сценарий. Продюсером выступает Джейсон Блум со своей компанией Blumhouse Productions.
Съёмки «Человека-невидимки» стартуют уже в мае, дата релиза пока не объявлена
 

11.03.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",11.03.2019
Сколько соберёт сиквел «Сплита» «Стекло»? Первый прогноз,"
Сколько соберёт сиквел «Сплита» «Стекло»? Первый прогноз


Новости


 
 
 
 
 
 




Портал Box Office Pro поделился первым прогнозом касательно сборов триллера «Стекло» М. Найт Шьямалана. Аналитики считают, что за дебютный уикенд в США сиквел «Неуязвимого» и «Сплита» заработает порядка $55 – $80 миллионов, тогда как общая касса картины в домашнем прокате может достичь отметки в $180 миллионов.
Действие сюжета развернётся вскоре после финала «Сплита». Дэвид Данн (Брюс Уиллис) начинает преследование таинственного мужчины со сверхспособностями по прозвищу Зверь (Джеймс МакЭвой) и в итоге встречается с ним. Однако в дело вмешивается Элайджа Прайс (Сэмюэль Л. Джексон), который хранит секреты как Данна, так и Зверя / Кевина Крамба.
Шьямалан выступил в качестве режиссера и сценариста картины, а Джейсон Блум снова взял на себя обязанности продюсера. В актёрском составе также значатся Аня Тэйлор-Джой, Сара Полсон,  Спенсер Трит Кларк и Шарлэйн Вудард.
Российский релиз «Стекла» запланирован на 17 января.
 

24.11.2018














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",24.11.2018
«Внутреннее расследование» с Ричардом Гиром получит ремейк,"
«Внутреннее расследование» с Ричардом Гиром получит ремейк


Новости


 
 
 
 
 
 




Студия Paramount объявила о планах по перезагрузке криминального триллера «Внутреннее расследование». В картине 1990 года, снятой Майком Фиггисом, главные роли исполнили Ричард Гир и Энди Гарсиа.
В центре сюжета — полицейский из отдела внутренней безопасности, который решает разоблачить своего коллегу, замешанного в хитрой коррупционной схеме.
Информации о ремейке пока мало, но известно, что за него может взять продюсер Тодд Гарнер («Ты водишь!»).
Источник: The Hollywood Reporter

13.11.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",13.11.2019
Праздничный постер фильма «Жил-был Дэдпул»,"
Праздничный постер фильма «Жил-был Дэдпул»


Новости


 
 
 
 
 
 




FOX представили новый локализованный постер к фильму «Жил-был Дэдпул» ‒ цензурной версии «Дэдпула 2» с подростковым рейтингом PG-13. На российские экраны кинокомикс попадёт 3 января (с возрастным ограничением 16+).
Специально для повторного релиза картины Райан Рейнольдс вместе с режиссёром Дэвидом Литчем и сценаристами Реттом Ризом и Полом Верником отсняли новый материал, а также добавили сцены с Фредом Сэвиджем, который вернулся к своей роли из «Принцессы-невесты».
Часть сборов от проката смягчённого варианта «Дэдпула 2» пойдёт на благотворительность: студия планирует переводить по доллару с каждого проданного билета в пользу фонда по борьбе с раком.
«Fox просили нас снять кино под рейтинг PG-13 ещё с 2006 года, но я всегда отвечал “нет”», ‒ говорит Рейнольдс. «Но я теперь я дал согласие при двух условиях. Во-первых, часть вырученных средств должна пойти на благотворительность. Во-вторых, хотел похитить Фреда Сэвиджа. Последний пункт вызвал много вопросов…».
 

24.12.2018














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",24.12.2018
Пополнение в составе «Добро пожаловать в Zомбилэнд 2»,"
Пополнение в составе «Добро пожаловать в Zомбилэнд 2»


Новости


 
 
 
 
 
 




К актёрскому составу долгожданного продолжения хоррор-комедии «Добро пожаловать в Zомбилэнд», в котором вернётся весь основной каст из первой части, примкнула звезда «Взрослых игр» и «Матрицы времени » Зои Дойч. Подробности о её роли не разглашаются.
В центре внимания вновь окажутся Коламбус (Джесси Айзенберг), Таллахасси (Вуди Харрельсон), Вичита (Эмма Стоун) и Литтл-Рок (Эбигэйл Бреслин), однако последняя отбивается от команды и сбегает вместе с неким новым персонажем. Теперь оставшейся троице предстоит объездить всю страну в её поисках, причём ситуация осложняется появлением нового вида гигантских супервыносливых и невероятно сильных зомби, убить которых можно только прицельным выстрелом в голову. Таким образом, отряду выживших необходимо не только спасти свою исчезнувшую подругу, но и положить конец кровопролитию и бесчинствам, устраиваемым бандой переезжающих из города в город суперзомби.
В качестве сценаристов вернулись Ретт Риз и Пол Верник (дилогия «Дэдпул», «Живое»), режиссёрское кресло снова займёт Рубен Фляйшер, отснявший для Sony «Венома».
Съёмки второго «Zомбилэнда» стартуют в январе, а релиз намечается на октябрь 2019-го ‒ аккурат к 10-летию премьеры оригинального фильма.
 

28.11.2018














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",28.11.2018
В продолжении «Гоголя» не будет Александра Петрова,"
В продолжении «Гоголя» не будет Александра Петрова


Новости


 
 
 
 
 
 




Стало известно, что исполнитель роли Гоголя Александр Петров больше не вернётся к этой роли в продолжениях известной серии фильмов. Об этом рассказала маркетинг-директор ТВ-3 Лили Шерозия журналу «Бюллетень кинопрокатчика». Она сравнила главного героя с Джеймсом Бондом, которого постоянно играют разные актёры. То же самое ждёт и сиквелы «Гоголя», однако дирекция канала уверена, что это не скажется на популярности Николая Васильевича.
Телевизионный проект вышел в прокат в трёх частях: «Гоголь. Начало», «Гоголь. Вий» и «Гоголь. Страшная месть». Также в прошлом году на ТВ-3 стал доступен 100-минутный фильм, состоявший из сцен, не вошедших в прокатные версии. Изначально проект задумывался как сериал, а уже после было принято решение показать его в кино, разбив на несколько эпизодов.
Пока что это единственная информация, которая касается продолжения саги об известном писателе-детективе, однако из этого следует, что у канала серьёзные планы на будущее развитие серии.
 
Источник: Бюллетень кинопрокатчика

24.06.2019














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",24.06.2019
Появился загадочный тизер второго сезона «Тьмы»,"
Появился загадочный тизер второго сезона «Тьмы»


Новости


 
 
 
 
 
 




Netflix поделился новым загадочным тизером к второму сезону немецкого сериала «Тьма». В этот раз героям предстоит отправиться сквозь пространство и время, чтобы найти необходимые ответы в будущем.
Научно-фантастический сериал вышел в 2017 году и была задумана как трилогия. В первом сезоне герои исследовали прошлое, а во втором отправятся в будущее. «Тьма» была высоко оценена критиками и зрителями.
Новый сезон будет доступен на Netlix 21 июня.
 




27.06.2020














Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",27.06.2020
В Сети появился первый трейлер нового «Скуби-Ду»,"
В Сети появился первый трейлер нового «Скуби-Ду»


Новости


 
 
 
 
 
 




Студия Sony поделилась дебютным трейлером грядущего мультфильма «Скуби-Ду». Свои голоса героям подарили Марк Уолберг, Зак Эфрон, Аманда Сайфред и другие.
В центре сюжета окажутся члены корпорации «Тайна», который объединяются с другими персонажами известной экранной вселенной, чтобы остановить Дика Дастардли от уничтожения мира.
Премьера назначена на 14 мая 2020 года.




 




14.11.2019

Далее по теме















Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",14.11.2019
"Режиссёр «Доктора Сна» работает над новой адаптацией романа Стивена Кинга
 ","
Режиссёр «Доктора Сна» работает над новой адаптацией романа Стивена Кинга
 


Новости


 
 
 
 
 
 




Майк Флэнеган, постановщик вышедшего на этой неделе «Доктора Сна» и сериала «Призраки дома на холме», готовится снова поработать с «королём ужасов» Стивеном Кингом.
В интервью CinemaBlend постановщик заявил: «Мы активно обсуждаем со Стивеном, что будет дальше, и у нас уже есть идея, о которой я пока не могу говорить. Но это определённо что-то классное, так что да, надеюсь, у меня ещё будет шанс поиграться в этой песочнице».
Помимо «Доктора» Флэнеган снял «Игру Джеральда», также по роману Кинга. Сам писатель недавно заявил, что доволен обоими экранизациями, и что «Доктор Сон» исправил ошибки «Сияния» Стэнли Кубрика.
Источник: CinemaBlend

10.11.2019

Далее по теме















Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",10.11.2019
"Кристиан Бейл рассказал, почему не сыграл Бэтмена в четвертый раз","
Кристиан Бейл рассказал, почему не сыграл Бэтмена в четвертый раз


Новости


 
 
 
 
 
 




В недавнем интервью Кристиан Бейл объяснил, почему Кристофер Нолан не стал снимать четвёртый фильм про Бэтмена, хотя студия просила его об обратном.
Оказывается, режиссёр сомневался ещё тогда, когда ему предлагали снять вторую часть, так как хотел сконцентрироваться на работе над одним фильмом. Он допускал трилогию, однако после неё был полон решимости покончить с «Тёмным рыцарем». И Бейл старался с уважением относиться к мнению режиссёра.
Поэтому, когда к Кристиану Бейлу подошли представители студии Warner Bros., он твёрдо заявил им, что следует придерживаться идеи режиссёра и отказаться от четвёртой части. После этого актёру сообщили, что больше не нуждаются в его услугах.
Источник: Toronto Sun

20.11.2019

Далее по теме















Оставайтесь с нами на связи и получайте свежие рецензии, подборки и новости о кино первыми
Яндекс Дзен
 | 
Твиттер
 | 
Telegram
 | 
Instagram

",20.11.2019
