head,text,date
"«Джентльмены»: Гай Ричи представляет второй трейлер духовного наследника «Куш» и «Карты, деньги, два ствола»","STX выложила новый трейлер криминальной комедии Гая Ричи «Джентльмены» («The Gentlemen»).Ричи написал сценарий и срежиссировал бальзам на душу фанатов «Карты деньги два ствола» и «Большой Куш».В фильме играют: обладатель Золотого Глобуса Колин Фаррелл; Мэтью МакКонахи («Пляжный бомж»); Чарли Ханнэм («Сыны Анархии»); Генри Голдинг («Сумасшедшие богатые азиаты»); Хью Грант («Паддингтон 2»), Джереми Стронг («Наследники») и Мишель Докери («Аббатство Даунтон»).Ричи написал сценарий вместе с Марном Дэвисом и Айваном Аткинсоном. Он также стал продюсером фильма. Нам обещают проект, который станет идейным миксом фильмов «Сексуальная тварь» и «Аббатство Даунтон».Действие фильма происходит в Лондоне. Классический английский наркобарон будет пытаться продать свою прибыльную империю семье миллиардеров из Оклахомы. Визуальный коктейль Ричи будет подан с обилием типичного для «Куша» и «Карты, деньги, два ствола» веселья.Премьера фильма состоится 13 февраля 2020 года.Похожее"," 24 декабря, 2019  - 08:59 "
«Мулан»: озвученный трейлер живой экранизации классики Disney,"Студия Disney опубликовала озвученный тизер-трейлер и постер игровой экранизации мультфильма «Мулан» («Mulan»).Ники Каро режиссирует фильм по сценарию Лорен Хайнек, Рика Яффо, Аманды Сильвер и Элизабет Мартин.В фильме играют: Лю Ифэй — Мулан; Донни Йен — Командор Танг, учитель Мулан; Джейсон Скотт Ли; Уткарш Амбудкар; Рон Юань и Цзи Ма.Фильм экранизирует древнюю китайскую легенду о Мулане, женщине-воине, которая маскируется под мужчину, чтобы занять место своего стареющего отца в армии.Крис Бендер, Джейк Вайнер и Джейсон Рид спродюсируют проект.Премьера состоится 26 марта 2020 года!На русском:На украинском:Оригинал:Похожее"," 5 декабря, 2019  - 18:31 "
Тайка Вайтити спродюсирует научно-фантастический триллер «Ночные налётчики»,"Несмотря на сильную занятость со съемками в «Отряде самоубийц», промотуре «Кролика Джоджо» и работе над четвертым «Тором» режиссер Тайка Вайтити нашел время, чтобы спродюсировать научно-фантастический триллер «Ночные налётчики» («Night Raiders»).Действие фильма будет происходить в Северной Америке, которая перенесла разрушительную войну. Военные администрации контролируют города, с жителями лишенными гражданских прав. Дети здесь являются собственностью государства, и фильм будет рассказывать об отчаявшейся женщине. Она присоединяется к группе боевиков, чтобы проникнуть в государственную детскую академию, чтобы вернуть свою дочь.Данис Гуле срежиссирует фильм, в котором сыграют: Аманда Пламмер; Элле-Майя Тайлфизер, Алекс Таррант и Шон Сайпос.Съемки фильма уже ведутся в Торонто.Похожее"," 25 октября, 2019  - 17:46 "
«Ирландец»: финальный трейлер гангстерской саги Мартина Скорсезе,"Потоковый сервис Netflix опубликовал финальный трейлер обласканного критиками гангстерского триллера «Ирландец» («The Irishman»).«Ирландец» — это эпическая история режиссера Мартина Скорсезе о гангстерах в послевоенной Америке. Мы ее увидим глазами ветерана Второй мировой войны Фрэнка Ширана. Фрэнк стал мошенником и наемным убийцей, работающим на самых известных преступников 20-го века. Действие саги происходит в течение нескольких десятилетий. Зрители примут участие в жестоком путешествии, во время которого будет раскрыто закулисье криминальной жизни, внутренней борьбы за влияние и криминальные связи с миром политики.Кстати, у фильма отменный хронометраж в 210 минут, а это на секундочку три с половиной часа!Фильм с участием Роберта Де Ниро, Аль Пачино; Джо Пеши и Харви Кейтеля выйдет на потоковом сервисе 27 ноября 2019 года.Похожее"," 19 ноября, 2019  - 16:49 "
«Мы – волна»: трейлер молодежной детективной драмы,"Netflix опубликовал трейлер молодежной немецкой детективной драмы «Мы — Волна» («We Are The Wave»).Сериал рассказывает о группе подростков, преследующих мечту о лучшем будущем во главе с новым и загадочным одноклассником. Они больше не хотят скрывать свой гнев по поводу социальных проблем. То, что начинается как идеалистическое восстание против истеблишмента вскоре получает угрожающий импульс.В сериале играют: Мишель Бартель, Даниэль Фридл, Кристиан Эрдманн и Луиза Бефорт.Премьера сериала по роману американского писателя Тодда Штрассера стартует ​​1 ноября 2019 года. Похожее"," 19 октября, 2019  - 11:33 "
«Мисс Плохое поведение»: трейлер и постер комедийной драмы с Гугу Мбата-Роу и Кирой Найтли,"Студия Pathe опубликовала трейлер и постер своей новой комедийной драмы «Мисс Плохое поведение» («Misbehaviour») от режиссера Филиппа Лоуторпа.Сценарий написали Гэби Чьяппе и Ребекка Фрайн.В 1970 году в Лондоне прошел конкурс «Мисс мира», устроенный американским легендарным комедиантом Бобом Хоупом. В то время «Мисс мира» была самым популярным телевизионным шоу на планете с аудиторией более чем 100 миллионов зрителей.Утверждая, что конкурсы красоты унижают женщин, Женское освободительное движение добилось славы в одну ночь, вторгшись на сцену и сорвав прямую трансляцию конкурса. Мало того, что, когда шоу возобновилось, результат вызвал бурю негодования. Победителем стала не шведская фаворитка, а мисс Гренада — первая чернокожая женщина, получившая корону Мисс Мира.Через несколько часов мировая аудитория стала свидетелем того, как западный идеал красоты перевернулся с ног на голову.В фильме играют: Кира Найтли, Гугу Эмбата-Ро, Джесси Бакли; Кили Хоуз, Сьюки Уотерхаус и Рис Иванс.Премьера фильма состоится 12 марта 2020 года.Похожее"," 21 декабря, 2019  - 11:27 "
«Фанатка»: тизер комедийного сериала с Зои Кравиц,"После 5 расставаний … наконец пришло время встретиться с музыкой. Потоковый сервис Hulu опубликовал тизер комедийного сериала «Фанатка» («High Fidelity») с Зои Кравиц.Любительница музыки, поп-культуры и всевозможных ТОПов работает в музыкальном магазине в ее родном городе. Она пересматривает свои прошлые отношения через музыку и поп-культуру, пытаясь определить, кто же ее единственная настоящая любовь. Это переосмысление одноименного романа Ника Хорнби выпущенного в 1995 году.  Зои также является исполнительным продюсером сериала.Также в сериале играют: Дэвид МакЭлфреш, Джейк Лэси, Кингсли Бен-Адир и Томас Доэрти.Премьера проекта стартует 14 февраля 2020 года. Похожее"," 23 декабря, 2019  - 11:51 "
«Ангелы Чарли»: второй озвученный трейлер приключенческого боевика,"Белла, Жасмин и какая-то третья по квоте — во втором трейлере экшен-комедии «Ангелы Чарли» («Charlie’s Angels») от студии Sony Pictures.Главные роли исполнили: Кристен Стюарт («Сумерки»), Наоми Скотт («Могучие рейнджеры») и Элла Балински («Чисто английские убийства»).Этот фильм станет перезагрузкой комедии 2000 года, которая была основана на классическом телесериале 1970-х годов. Ангелы Чарли всегда обеспечивали расследования и безопасность для частных клиентов, а теперь Агентство Таунсенд выходит на международный уровень. Самые умные, самые бесстрашные, самые высококвалифицированные девушки во всем мире.Также в фильме сыграли: Элизабет Бэнкс, Ной Сентинео, Сэм Клафлин и Джимон Хонсу.«Ангелы Чарли» стартую в кино 14 ноября 2019 года.На русском:На украинском:В оригинале:Похожее"," 16 октября, 2019  - 06:33 "
«Выскочка»: тизер второго сезона комедийного сериала от создателей «SNL»,"Hulu опубликовал тизер второго сезона комедийного сериала «Выскочка» («Shrill») от создателей шоу «SNL».Продюсерами проекта являются Лорн Майкл («SNL») и Элизабет Бэнкс («Ангелы Чарли»).Энни — молодая толстушка, которая хочет изменить свою жизнь — но не свое тело. Энни пытается начать свою карьеру, совмещая плохих парней, больных родителей и босса-перфекциониста.Обретя новое чувство контроля и уверенности в себе, Энни обнаруживает, что жизнь, которой она добивалась не совсем та, какой она себе представляла. У нее есть уверенность. Но, что же с ней теперь делать?В сериале играют: Макс Хаскинс, Эйди Брайант, Лолли Адефоп, Люка Джонс.Премьера сериала стартует 24 января 2019 года. Похожее"," 4 декабря, 2019  - 21:47 "
Анжела Сарафян и Натали Мартинес сыграют в фантастическом боевике «Воспоминания»,"Режиссер и сценарист Лиза Джой («Мир дикого запада») закончила набирать каст в свой фантастический боевик «Воспоминания» («Reminiscence»).К Хью Джекману («Логан») и Ребекке Фергюсон («Миссия невыполнима: Фаллаут») присоединились Анжела Сарафян («Мир дикого запада») и Натали Мартинес («Смертельная гонка»).Фильм расскажет историю Ника Баннистера, частного детектива, который занимается сбором ярких воспоминаний для клиентов. Его жизнь полностью изменится, когда он встретит загадочную клиентку, в которую безумно влюбится. Но однажды женщина внезапно исчезает, что начисто выбивает Ника из колеи. Затеяв поиски, он обнаруживает такие стороны ее личности, о которых раньше и не подозревал. Действие будет происходить в ближайшем будущем, когда Майами накроют последствия глобального потепления.Также в фильме сыграют: Клифф Кертис («Доктор Сон»), Марина Де Тавира («Рома»); Тэнди Ньютон («Мир дикого запада») и Дэниэл Ву («Tomb Raider»).Джой спродюсирует проект вместе с Джонатаном Ноланом, Майклом Де Лука и Аароном Райдером.Съемки пройдет в Новом Орлеане и Майами.Похожее"," 30 октября, 2019  - 10:12 "
«Грешники»: вышел второй трейлер нового сезона криминальной антологии с Мэттом Бомером,"Канал USA опубликовал второй трейлер и анонсировал дату премьеры нового сезона своей криминальной антологии «Грешники» («The Sinner») с Биллом Пулманом и Мэттом Бомером.В новом сезоне детектив Гарри Эмброуз (Билл Пулман) начинает обычное расследование трагической автомобильной аварии. Произошедшей на окраине Дорчестера, в северной части штата Нью-Йорк. В ходе расследования Эмброуз натыкается на скрытое преступление, которое становится самым опасным и тревожным случаем в его карьере. Мэтт Бомер сыграет Джейми — преуспевающего жителя Дорчестера. Он обращается к Эмброузу за поддержкой после несчастного случая.Дерек Саймондс является исполнительным продюсером и шоураннером третьего сезона.Премьера сезона состоится 6 февраля 2020 года.Похожее"," 15 декабря, 2019  - 22:54 "
T800 и его собака в новом трейлере без цензуры к боевику «Терминатор: Фатум»,"Paramount Pictures опубликовала новый экшен-трейлер  без цензуры к боевику «Терминатор: Фатум» («Терминатор: Тёмные судьбы») («Terminator: Dark Fate») режиссера Тима Миллера.Новый Терминатор начнет новую трилогию и будет прямым сиквелом Кэмероновского «Терминатор 2: Судный день». Все что было снято после Кэмерона официально будет игнорироваться! Фильм воссоединил продюсера Кэмерона с Арнольдом Шварценеггером и Линдой Хэмилтон. Под чутким руководством создателя двух самых прибыльных фильмов за всю историю фильм срежиссировал Тим Миллер («Дедпул»).Также в фильме играют: Маккензи Дэвис, Бретт Азар; Диего Бонета, Стивен Кри, Наталия Рейс и Гэбриел Луна. Также Эдвард Ферлонг вернется к своей роли оригинального Джона Коннора из второй части.Рейес сыграет девушку по имени Дани, живущую в мексиканском рабочем районе. Её втягивают в битву между человечеством и армией киборгов-убийц Скайнета. Бонета сыграет брата Дани, а Гэбриел «Призрачный Гонщик» Луна станет новой моделью Терминатора. Восходящая звезда Маккензи Дэвис («Марсианин») сыграет главную роль нового солдата из будущего.Билли Рэй («Капитан Филлипс», «Голодные игры») написал самый последний вариант сценария, который основан на идеях Кэмерона, Миллера и Эллисона.Джеймс Кэмерон вернул себе права на Терминатора в 2019 году, и продюсирует новую серию фильмов вместе с Дэвидом Эллисоном из Skydance.Фильм выйдет в кинотеатрах 31 октября 2019.Похожее"," 17 октября, 2019  - 21:01 "
Netflix выпустил трейлер и постер к комедийному сериалу «Весело счастливо»,"Потоковый сервис Netflix опубликовал трейлер и постер к своему новому комедийному сериалу «Весело счастливо» («Merry Happy Whatever»).Дон Куинн — волевой патриарх семейства из Филадельфии, который делает все возможное, чтобы семья отлично провела праздники, а семья делает все возможное, чтобы управлять им. Вишенкой на торте становится возвращение его младшей дочери Эмми домой из Лос-Анджелеса вместе с каким-то новым парнем.В сериале играют: Деннис Куэйд, Бриджит Мендлер, Брент Морин, Эшли Тисдейл и Адам Роуз.Премьера сериала стартует 28 ноября 2019 года.Похожее"," 5 ноября, 2019  - 12:27 "
«Эмма»: тизер-трейлер экранизации Джейн Остин с Аней Тейлор-Джой,"Студия Focus Features опубликовала трейлер своей новой комедии «Эмма» («Emma») с Аней Тейлор-Джой в главной роли.Отем ДеУайлд срежессировал фильм по сценарию Элинор Каттон.Фильм является экранизацией романа английской писательницы Джейн Остин, опубликованного в 1815 году . Героиней истории является Эмма Вудхаус, избалованная молодая женщина, которая очень высокого мнения о себе и слишком переоценивает свои навыки сватовства, не замечая опасности манипулирования людьми.Также в фильме играют: Джемма Уилан, Джош О’Коннор; Билл Найи, Миа Гот и Каллум Тернер.Премьера стартует в кинотеатрах 16 апреля 2020 года. На русском:Оригинал:Похожее"," 26 ноября, 2019  - 10:31 "
«Тау Кита 4»: Ума Турман сыграет в научно-фантастическом боевике Джон Мактирнана,"Режиссер «Хищника» и «Крепкого орешка» Джон Мактирнан собирается вернуться к работе впервые с тех пор, как его карьера была прервана из-за проблем с законом. В свой новый научно-фантастический боевик «Тау Кита 4» («Tau Ceti 4») он пригласил Уму Турман («Убить Билла») и Трэвиса Фиммела («Викинги»).Кроме режиссуры Мактирнан еще и написал сценарий к проекту.Действие фильма разворачивается на разрушенной войной четвертой планете в солнечной системе Тау Кита. Здесь появляются три тяжеловооруженных незнакомца. Они добывают информацию об олигархах и военных преступниках, которые терроризируют это место, и собираются убить каждого из них.В 2003 году у Мактирнана вышел последний на данный момент фильм «База Клейтон». После чего он был осужден за лжесвидетельство, был приговорен к одному году федеральной тюрьмы и объявлен банкротом.Похожее"," 4 ноября, 2019  - 20:23 "
«Дом Дракона»: HBO одобрил только один из двух приквелов «Игры престолов»,"Поразмыслив три месяца после окончания съемок пилота приквела «Игры престолов» с Наоми Уоттс HBO закрыл высокобюджетный проект шоураннера Джейн Голдман.В то же время, другой приквел «Дом Дракона», который расскажет о Таргариенах получил прямой заказ на съемки всего первого сезона!Говорят, что у пилота за который отвечала Джейн Голдман были проблемы со съемками в Северной Ирландии и перерасход бюджета…Действие одобренного сериала Райан Кондала будет происходить за 300 лет до событий первого сезона «Игры престолов»:Нам расскажут о царствовании и падении семьи Таргариенов. Источником вдохновения для проекта станет книга Мартина «Огонь и кровь», опубликованная в ноябре прошлого года. Книга написана в форме королевских хроник, и рассказывает о семье с того момента, как Эйган Завоеватель покорил весь Вестерос и до смерти Визериса первого.Похожее"," 30 октября, 2019  - 09:53 "
Скотт Эдкинс опубликовал финальный экшен трейлер «Ип Ман 4»,"Звезда боевиков класса Б, Скотт Эдкинс  опубликовал финальный экшен трейлер биографического боевика «Ип Ман 4» («Ip Man 4») от режиссера Уилсона Ипа.Мастер кунг-фу Ип Ман едет в США, где нужна помощь его ученику, который открыв школу Вин Чун насолил местному сообществу боевых искусств.В фильме играют: Донни Йен, Скотт Эдкинс, Ваннесс Ву и Квок-Кван Чан.Американская премьера фильма стартует 25 декабря 2019 года.Похожее"," 12 ноября, 2019  - 09:48 "
«Заместитель»: появися постер и второй трейлер полицейского вестерна со Стивеном Дорффом,"Канал Fox опубликовал постер и второй трейлер полицейской драмы «Заместитель» («Deputy») от режиссера Дэвида Эйра.Главную роль сыграл Стивен Дорфф («Блейд»,»Настоящий детектив»).Дэвид Эйр («Яркий», «Отряд самоубийц») срежиссировал пилот по сценарию Уилла Белла («Аквамен»).Дорфф играет профессионального законника, помощника шерифа Билла Холлистера. Он очень скромно стучится в двери и совершенно теряется на планерках и собраниях. Но когда шерифа округа Лос-Анджелес находят мертвым, Билл становится исполняющим обязанности начальника округа с 10000 подчиненных, охраняющих современный Дикий Запад.В сериале также играют: Яра Мартинес, Брайан Ван Холт, Сиена Гойнс и Бекс Тейлор-Клаус.Премьера стартует 2 января 2020 года.Второй трейлер:Новый ролик:Похожее"," 14 декабря, 2019  - 12:03 "
Непобедимый Вин Дизель геройствует в озвученном трейлере боевика «Бладшот»,"Студия Sony Pictures опубликовала первый трейлер и его международную версию к экранизации комиксов издательства Valiant Entertainment «Бладшот» («Bloodshot») с Вином Дизелем в роли суперсолдата Рэя Гаррисона.Дейв Уилсон срежиссирует фильм по сценарию Эрика Хайссерера («Прибытие») и Джеффа Уодлоу («Пипец 2»).Морской пехотинец Рэй Гаррисон умер… Его убили вместе с женой. Но секретная команда ученых воскрешает его, усиливая нанотехнологиями, делая сверхчеловеком, биотехнологической машиной убийства под названием — Бладшот. Его сразу же отправляют на тренировки с другими суперсолдатами, и он ничего не может вспомнить из своей прошлой жизни. Но когда его воспоминания возвращаются, и он вспоминает убийц, Бладшот вырывается из тюрьмы одержимый жаждой мести, только чтобы обнаружить, что заговор намного масштабнее чем он думал.В фильме также сыграют: Тоби Кеббелл («Фантастическая четверка»), Эйза Гонсалес («На драйве»), Гай Пирс («Мементо»); Талула Райли («Мир дикого Запада»), Йоханнес Хаукур Йоханнессон («Игра престолов»), Ламорн Моррис («Ночные игры») и Алекс Эрнандес («Нереальный холостяк»).Эрик Хейссерер также написал сценарий еще одного проекта от Sony и Valiant «Предвестник».Ранее сообщалось, что Sony планирует снять два фильма в соответствующих франчайзах «Бладшот» и «Предвестник». А потом пересечь их в художественном фильме «Предвестник войны». Еще предстоит выяснить, сохранились ли эти планы и осуществятся ли они.Премьера фильма состоится 20 февраля 2020 года.Трейлер:Международный трейлер в оригинале:На русском:На украинском:Похожее"," 21 октября, 2019  - 18:22 "
